question,answer
"What are the tutor fees?","Tutors set monthly subscription in USDT only. Platform fee is 30% by default — 30% of subscription is deducted. If marketing is included, additional marketing cost may be charged. Tutor earnings = subscription (USDT) − platform fee (30%, etc.) − marketing cost (if any)."
"How do I apply to become a tutor?","Profile menu → Become a tutor → /tutor/apply. Enter nickname, profile image, bio, investment experience, monthly USDT fee, portfolio link, etc. Agree to tutor terms and platform fee (30% default, extra if marketing). After admin review you get tutor access and start at Bronze."
"What is on the tutor dashboard?","Dashboard (/tutor/dashboard): subscriber count, monthly USDT revenue, recommendations, success rate, grade and temperature. Recommendations (/tutor/recommendations): list, add, edit, delete. Create recommendation (/tutor/recommendations/create). Subscribers (/tutor/subscribers), Activity history (/tutor/activity-history), Referral (/tutor/referral). All amounts are in USDT."
"How do I create and manage coin recommendations?","Enter coin, current price (may auto-fill), target price, target date, gain rate, analysis (multilingual). Minimum holding period and minimum target gain vary by grade (e.g. Bronze 7 days/5% to Diamond 45 days/25%). Registration may be restricted if conditions are not met. Status: pending, achieved, failed; the system may auto-mark achieved when target is hit."
"What are tutor grade and temperature?","Grades: Bronze → Silver → Gold → Platinum → Diamond. You are promoted when conditions (e.g. success rate, minimum recommendations) are met and may be demoted when failures accumulate. Temperature reflects popularity and activity. Check the tutor page for fee rates and benefits by grade."
"How do tutors handle subscribers, revenue, and payout?","Subscriber management: list of subscribers, start and expiry dates. Revenue: subscription (USDT) minus platform fee (30%, etc.). Payout/withdrawal: per platform policy you can request USDT payout above a threshold or on a schedule (subject to approval and fee policy)."
"How do tutors create learning content?","Tutors can create and manage studies, exams, voice interviews, and questions. Use the learning menu and the study/exam/question management screens to create, edit, and delete."
"Where do tutors manage referral?","Referral (/tutor/referral): your referral link, subscriptions from the link, and commission paid. Commission is aggregated and paid in USDT per policy."
"What is the difference between a regular user and a tutor?","Regular user: USDT for subscription, deposit, withdrawal; uses studies/exams/voice interviews/questions; only members see recommendations; pays subscription; wallet for deposit/withdrawal/balance; views own referral earnings. Tutor: USDT for subscription, revenue, payout; creates and manages studies/exams/questions; manages recommendations and stats; pays 30% platform fee (plus marketing if applicable); revenue, payout, withdrawal; referral link and commission history."
"Where can I find terms of service and privacy policy?","In-app links or paths like /terms-of-service_*, /privacy-policy_*."
"How do I contact CoinTutor?","Use the Contact page or in-app support. Domain: cointutor.net."
